UNIX time;Local time;genericSensor1
1618141152;2021-04-11T14:39:12.000;-0.742
1618141153;2021-04-11T14:39:13.000;-0.742
1618141154;2021-04-11T14:39:14.000;-0.742
1618141155;2021-04-11T14:39:15.000;-0.742
1618141156;2021-04-11T14:39:16.000;-0.742
1618141157;2021-04-11T14:39:17.000;-0.742
1618141158;2021-04-11T14:39:18.000;-0.742
1618141159;2021-04-11T14:39:19.000;-0.742
1618141160;2021-04-11T14:39:20.000;-0.742
1618141161;2021-04-11T14:39:21.000;-0.742
1618141162;2021-04-11T14:39:22.000;-0.742
1618141163;2021-04-11T14:39:23.000;-0.742
1618141164;2021-04-11T14:39:24.000;-0.742
1618141165;2021-04-11T14:39:25.000;-0.742
1618141166;2021-04-11T14:39:26.000;-0.742
1618141167;2021-04-11T14:39:27.000;-0.742
1618141168;2021-04-11T14:39:28.000;-0.742
1618141169;2021-04-11T14:39:29.000;-0.742
1618141170;2021-04-11T14:39:30.000;-0.742
1618141171;2021-04-11T14:39:31.000;-0.742
1618141172;2021-04-11T14:39:32.000;-0.742
1618141173;2021-04-11T14:39:33.000;-0.742
1618141174;2021-04-11T14:39:34.000;-0.742
1618141175;2021-04-11T14:39:35.000;-0.742
1618141176;2021-04-11T14:39:36.000;-0.742
1618141177;2021-04-11T14:39:37.000;-0.742
1618141178;2021-04-11T14:39:38.000;-0.742
1618141179;2021-04-11T14:39:39.000;-0.742
1618141180;2021-04-11T14:39:40.000;-0.742
1618141181;2021-04-11T14:39:41.000;-0.742
1618141182;2021-04-11T14:39:42.000;-0.742
1618141183;2021-04-11T14:39:43.000;-0.742
1618141184;2021-04-11T14:39:44.000;-0.82
1618141185;2021-04-11T14:39:45.000;-0.742
1618141186;2021-04-11T14:39:46.000;-0.664
1618141187;2021-04-11T14:39:47.000;-0.742
1618141188;2021-04-11T14:39:48.000;-0.742
1618141189;2021-04-11T14:39:49.000;-0.742
1618141190;2021-04-11T14:39:50.000;-0.664
1618141191;2021-04-11T14:39:51.000;-0.742
1618141192;2021-04-11T14:39:52.000;-0.742
1618141193;2021-04-11T14:39:53.000;-0.742
1618141194;2021-04-11T14:39:54.000;-0.742
1618141195;2021-04-11T14:39:55.000;-0.742
1618141196;2021-04-11T14:39:56.000;-0.742
1618141197;2021-04-11T14:39:57.000;-0.742
1618141198;2021-04-11T14:39:58.000;-0.664
1618141199;2021-04-11T14:39:59.000;-0.664
1618141200;2021-04-11T14:40:00.000;-0.742
1618141201;2021-04-11T14:40:01.000;-0.742
1618141202;2021-04-11T14:40:02.000;-0.742
1618141203;2021-04-11T14:40:03.000;-0.742
1618141204;2021-04-11T14:40:04.000;-0.742
1618141205;2021-04-11T14:40:05.000;-0.742
1618141206;2021-04-11T14:40:06.000;-0.742
1618141207;2021-04-11T14:40:07.000;-0.742
1618141208;2021-04-11T14:40:08.000;-0.742
